,id,tags,lonlat,sport,leisure
4271,239028811,"{'name': 'Lapangan Poli', 'sport': 'volleyball'}","(2468433229, 2468433225, 2468433226, 2468433233, 2468433229)",volleyball,
4272,239028812,"{'name': 'Lapngan Takraw', 'sport': 'cricket_nets'}","(2468433232, 2468433235, 2468433238, 2468433237, 2468433232)",cricket_nets,
4273,239073458,"{'sport': 'tennis', 'leisure': 'pitch'}","(2468878862, 2468878863, 2468878864, 2468878865, 2468878862)",tennis,pitch
4274,239073462,"{'sport': 'tennis', 'leisure': 'pitch'}","(2468878889, 2468878891, 2468878893, 2468878895, 2468878889)",tennis,pitch
4275,239073463,"{'sport': 'tennis', 'leisure': 'pitch'}","(2468878897, 2468878900, 2468878902, 2468878904, 2468878897)",tennis,pitch
4276,239073465,"{'sport': 'tennis', 'leisure': 'pitch'}","(2468878949, 2468878951, 2468878953, 2468878955, 2468878949)",tennis,pitch
4277,239179152,"{'name': 'JEMBATAN PENGGIK', 'leisure': 'park', 'addr:city': 'BAREK NGADILUHUR', 'addr:street': 'Jalan Perkutut', 'addr:postcode': '62182', 'addr:housename': 'JL. PERKUTUT'}","(2469914265, 2469914266, 2469914267, 2469914268, 2469914265)",,park
4278,239274479,{'leisure': 'park'},"(2470734060, 2470734061, 2470734062, 2470734063, 2470734065, 2470734066, 2470734067, 2470734068, 2470734069, 2470734070, 2470734060)",,park
4279,239274480,{'leisure': 'park'},"(2470734071, 2470734072, 2470734073, 2470734074, 2470734071)",,park
4280,239274481,{'leisure': 'park'},"(2470734075, 2470734107, 2470734108, 2470734106, 2470734103, 2470734076, 2470734077, 2470734078, 2470734079, 2470734075)",,park
4281,239274482,{'leisure': 'park'},"(2470734080, 2470734082, 2470734083, 2470734084, 2470734085, 2470734086, 2470734087, 2470734088, 2470734089, 2470734102, 2470734080)",,park
4282,239274483,{'leisure': 'park'},"(2470734090, 2470734091, 2470734092, 2470734093, 2470734090)",,park
4283,239274484,{'leisure': 'park'},"(2470734094, 2470734095, 2470734096, 2470734097, 2470734099, 2470734100, 2470734101, 2470734094)",,park
4284,239274486,{'leisure': 'park'},"(2470734109, 5281690452, 2470734110, 5281690453, 5281690454, 2470734112, 2470734113, 2470734114, 2470734115, 5281690446, 5281690447, 5281690448, 5281690449, 2470734119, 5281690450, 2470734120, 5281690451, 2470734121, 2470734109)",,park
4285,239274487,{'leisure': 'park'},"(2470734122, 2470734123, 2470734124, 2470734125, 2470734126, 2470734127, 2470734128, 2470734129, 2470734130, 2470734131, 2470734132, 2470734134, 2470734135, 2470734137, 2470734138, 2470734136, 2470734122)",,park
4286,239274489,{'leisure': 'park'},"(2470734147, 2470662923, 2470734148, 2470734149, 2470734147)",,park
4287,239274490,{'leisure': 'park'},"(2470734151, 3595541162, 2470734152, 2470734153, 2470734154, 2470734155, 2470734156, 2470734157, 2470734158, 2470734159, 2470734160, 2470734161, 2470734162, 2470734163, 2470734164, 2470734165, 2470734166, 2470734167, 2470734168, 2470734169, 2470734151)",,park
4288,239274491,{'leisure': 'park'},"(2470734170, 2470734172, 2470734173, 2470734174, 2470734175, 2470734176, 2470734170)",,park
4289,239274492,{'leisure': 'park'},"(2470734177, 2470734178, 2470734179, 2470734180, 2470734177)",,park
4290,239274493,{'leisure': 'park'},"(2470734179, 2470734181, 2470734182, 2470734183, 2470734179)",,park
4291,239278937,{'leisure': 'park'},"(2467303468, 2467303469, 2467303470, 2467303471, 2467303468)",,park
4292,239375749,"{'leisure': 'pitch', 'name': 'Lapangan Bola Karangtalun', 'sport': 'soccer'}","(2471702938, 2471702939, 2471702940, 2471702941, 2471702942, 2471702943, 2471702944, 2471702938)",soccer,pitch
4293,239387117,"{'building': 'yes', 'name': 'stud', 'sport': 'equestrian'}","(2471790850, 2471790809, 2471790827, 2471790840, 2471790833, 2471790858, 2471790850)",equestrian,
4294,239535198,{'leisure': 'park'},"(2473129461, 2473129473, 2473129471, 2473129472, 2473129474, 2473129469, 2473129461)",,park
4295,239943703,{'leisure': 'park'},"(2477142416, 2477142417, 2477142418, 2477142419, 2477142420, 2477142416)",,park
4296,240078152,"{'sport': 'volleyball', 'building': 'yes'}","(2478517045, 2478517053, 2478517052, 2478517044, 2478517045)",volleyball,
4297,240212747,"{'name': 'Lapangan', 'sport': 'soccer', 'leisure': 'pitch', 'soccer:type_idn': 'lapangan_bola'}","(2479631983, 2479631984, 2479631994, 2479631985, 2479631983)",soccer,pitch
4298,240249789,{'leisure': 'park'},"(2479900840, 2479900841, 2479900842, 2479900843, 2479900844, 2479900845, 2479900846, 2479900847, 2479900840)",,park
